Country.Name,Year.cutoff,lambda,pi.mean,gamma_all,gamma_outputfall,gamma,g,delta
Kazakhstan,2013,0.04665851593017578,0.03030303030303032,-5.59999942779541,-5.59999942779541,0.0559999942779541,0.039642232280028486,0.012775000333786011
Kazakhstan,2014,0.04665851593017578,0.02941176470588235,-5.59999942779541,-5.59999942779541,0.0559999942779541,0.04066012066602706,0.015020833611488342
Kazakhstan,2015,0.04665851593017578,0.028571428571428567,-5.59999942779541,-5.59999942779541,0.0559999942779541,0.04077154358228047,0.017266666889190672
Kazakhstan,2016,0.04665851593017578,0.02777777777777777,-5.59999942779541,-5.59999942779541,0.0559999942779541,0.039463746168396686,0.017329166531562804
Latvia,1990,0.06156854629516602,0.03962264150943407,-3.602053999900818,-9.443121433258057,0.09443121433258056,0.03965355634689331,0.010775000154972077
Latvia,1991,0.05489142417907715,0.039451114922812974,-3.7458600997924805,-9.443121433258057,0.09443121433258056,0.03902801632881164,0.008774999976158143
Latvia,1992,0.05464460849761963,0.0377358490566037,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.038766757249832154,0.010775000154972077
Latvia,1993,0.05464460849761963,0.034833091436864985,-3.491720199584961,-9.046422004699707,0.09046422004699707,0.038766757249832154,0.012775000333786011
Latvia,1994,0.05464460849761963,0.0323450134770889,-3.491720199584961,-9.046422004699707,0.09046422004699707,-0.11399986267089844,0.015020833611488342
Latvia,1995,0.05464460849761963,0.03270440251572311,-3.491720199584961,-9.443121433258057,0.09443121433258056,-0.04599989056587219,0.017266666889190672
Latvia,1996,0.05184954643249512,0.033018867924528385,-4,-9.443121433258057,0.09443121433258056,-0.03761395295461019,0.015020833611488342
Latvia,1997,0.05184954643249512,0.031076581576026514,-4,-9.443121433258057,0.09443121433258056,-0.022312995195388794,0.012775000333786011
Latvia,1998,0.05439779281616211,0.03249475890985333,-3.7458600997924805,-8.681434631347656,0.08681434631347656,9.78879928588796e-5,0.012087500095367432
Latvia,1999,0.05489142417907715,0.03674280039721927,-4.2176673412323,-5.762015342712402,0.057620153427124024,0.010951205094655353,0.011399999856948853
Latvia,2000,0.05489142417907715,0.03679245283018856,-4.609468698501587,-6.26451301574707,0.0626451301574707,0.01312811068126133,0.010162499845027923
Latvia,2001,0.055196635723114014,0.037735849056603474,-4,-6.013264179229736,0.06013264179229736,0.01824568063020706,0.008924999833106994
Latvia,2002,0.05550184726715088,0.03687821612349902,-4.2176673412323,-6.26451301574707,0.0626451301574707,0.02339758899476793,0.01011249989271164
Latvia,2003,0.056810131072998045,0.03855619360131253,-3.7953062057495117,-6.26451301574707,0.0626451301574707,0.028160845994949345,0.011299999952316285
