"pi","rel_dev","wc_down","wc_up","ratio"
0.185,0.25,0.00258419273997412,0.00174123488634925,1.48411495785744
0.19,0.25,0.00263823763678839,0.00178442828399394,1.4784778186117
0.195,0.25,0.00269257954071367,0.00182821467852623,1.47279177458756
0.2,0.25,0.00274723983180647,0.00187262072296734,1.46705619462184
0.205,0.25,0.00280223938085933,0.00191767335478488,1.46127043683812
0.21,0.25,0.002857598620988,0.00196339986463689,1.45543384842622
0.215,0.25,0.00291333761240842,0.00200982796260796,1.4495457654137
0.22,0.25,0.00296947610132292,0.00205698584256375,1.44360551243361
0.225,0.25,0.0030260335736908,0.00210490224518067,1.43761240248526
0.23,0.25,0.00308302930455773,0.00215360652014951,1.43156573668977
0.235,0.25,0.00314048240351894,0.00220312868800276,1.42546480404008
0.24,0.25,0.00319841185681502,0.00225349950198095,1.41930888114395
0.245,0.25,0.00325683656649323,0.00230475051031709,1.4130972319625
0.25,0.25,0.00331577538701155,0.0023569141193075,1.40682910753905
0.255,0.25,0.00337524715961535,0.00241002365749865,1.40050374572609
0.26,0.25,0.00343527074477601,0.0024641134413359,1.39412037090046
0.265,0.25,0.00349586505295019,0.00251921884258333,1.38767819367585
0.27,0.25,0.00355704907387933,0.00257537635784033,1.38117641060517
0.275,0.25,0.00361884190464135,0.0026326236804719,1.37461420387766
0.28,0.25,0.00368126277662606,0.00269099977527332,1.36799074100709
0.285,0.25,0.00374433108159844,0.00275054495619387,1.3613051745134
0.29,0.25,0.00380806639699827,0.00281130096746052,1.35455664159577
0.295,0.25,0.00387248851060651,0.0028733110684479,1.34774426379749
0.3,0.25,0.00393761744469701,0.00293662012265405,1.34086714666324
0.03,0.5,0.00488618367856875,0.00171408555749086,2.85060664400049
0.035,0.5,0.0053035772708403,0.00187063989971259,2.83516740536495
0.04,0.5,0.00569768045589725,0.00202070208412675,2.81965387211422
0.045,0.5,0.00607316554964155,0.00216584292632627,2.80406555610334
0.05,0.5,0.00643342507694289,0.0023072086290592,2.78840196587086
0.055,0.5,0.00678101405042542,0.00244566866310825,2.77266260663752
0.06,0.5,0.00711791356393676,0.00258190375265355,2.75684698030333
0.065,0.5,0.00744569666871775,0.00271646115855151,2.74095458544601
0.07,0.5,0.00776563742955028,0.00284979097688964,2.72498491732399
0.075,0.5,0.00807878525782368,0.00298227085476555,2.70893746787423
0.08,0.5,0.00838601713368559,0.00311422334268663,2.69281172571618
0.085,0.5,0.00868807525180526,0.0032459284011499,2.67660717615565
0.09,0.5,0.00898559476888083,0.00337763262264557,2.66032330118921
0.095,0.5,0.00927912465518621,0.00350955616988058,2.64395957951058
0.1,0.5,0.00956914363303918,0.00364189809047422,2.62751548651741
0.105,0.5,0.00985607254513854,0.00377484045482912,2.61099049432136
0.11,0.5,0.010140284082748,0.00390855162623582,2.59438407175748
0.115,0.5,0.0104221105305961,0.00404318888132682,2.5776956843965
0.12,0.5,0.0107018500007673,0.00417890053761405,2.56092479455793
0.125,0.5,0.0109797715005977,0.00431582770256422,2.54407086132612
0.13,0.5,0.0112561190903168,0.00445410572906135,2.52713334056595
0.135,0.5,0.0115311153225179,0.00459386544100615,2.51011168494138
0.14,0.5,0.0118049641094721,0.00473523417757016,2.49300534393627
0.145,0.5,0.0120778531305269,0.00487833669347337,2.47581376387686
0.15,0.5,0.0123499558667608,0.00502329594439599,2.4585363879543
0.155,0.5,0.0126214333312139,0.00517023378042802,2.4411726562525
0.16,0.5,0.012892435548747,0.00531927156580936,2.4237220057753
0.165,0.5,0.013163102828607,0.00547053073961445,2.40618387047665
0.17,0.5,0.0134335668643211,0.00562413332930234,2.388557681293
0.175,0.5,0.013703951688929,0.00578020242691979,2.37084286617825
0.18,0.5,0.0139743745083635,0.00593886263608878,2.35303885014029
0.185,0.5,0.0142449464316886,0.00610024049661506,2.33514505527986
0.19,0.5,0.0145157731136072,0.00626446489252996,2.31716090083232
0.195,0.5,0.0147869553220271,0.00643166744858892,2.29908580321131
0.2,0.5,0.0150585894413366,0.00660198291961323,2.28091917605549
0.205,0.5,0.0153307679203195,0.00677554957658633,2.26266043027664
0.21,0.5,0.0156035796722175,0.00695250959302285,2.2443089741115
0.215,0.5,0.0158771104332892,0.0071330094348574,2.22586421317507
0.22,0.5,0.016151443085264,0.00731720025687921,2.20732555051767
0.225,0.5,0.0164266579462772,0.00750523830860295,2.18869238668251
0.23,0.5,0.0167028330342295,0.0076972853523557,2.16996411976824
0.235,0.5,0.0169800443059422,0.00789350909633924,2.15114014549208
0.24,0.5,0.0172583658750288,0.00809408364540765,2.13221985725595
0.245,0.5,0.0175378702109971,0.00829918997234169,2.11320264621543
0.25,0.5,0.0178186283217771,0.00850901641248603,2.09408790135017
0.255,0.5,0.0181007099215743,0.00872375918470936,2.07487500953723
0.26,0.5,0.0183841835857166,0.00894362294180917,2.05556335562574
0.265,0.5,0.0186691168939574,0.00916882135365393,2.03615232251389
0.27,0.5,0.018955576563509,0.00939957772657285,2.01664129122749
0.275,0.5,0.0192436285729487,0.00963612566277172,1.99702964099925
0.28,0.5,0.0195333382779909,0.00987870976382987,1.97731674935027
0.285,0.5,0.0198247705200146,0.010127586382697,1.95750199217114
0.29,0.5,0.0201179897281347,0.0103830244289793,1.93758474380402
0.295,0.5,0.0204130600155263,0.0106453062327665,1.91756437712374
0.3,0.5,0.0207100452706246,0.0109147284727287,1.89744026361904
0.03,0.75,0.0199350501912963,0.00329837208567052,6.04390580368488
0.035,0.75,0.0216009434615754,0.00360408392459455,5.99346294745493
0.04,0.75,0.0231661896219781,0.00389810447658956,5.94293707649575
0.045,0.75,0.0246502160938489,0.0041834423131033,5.89232843408403
0.05,0.75,0.0260671359625502,0.00446229965066292,5.84163727298718
0.055,0.75,0.0274275811175471,0.00473635398815331,5.79086385564712
0.06,0.75,0.0287397955179272,0.00500692564242411,5.74000845437216
0.065,0.75,0.0300103236248355,0.00527508300924762,5.68907135152662
0.07,0.75,0.0312444633081446,0.00554171168599438,5.63805283972261
0.075,0.75,0.0324465747453941,0.00580756155564699,5.58695322201875
0.08,0.75,0.0336202975714301,0.00607327986760442,5.53577281211174
0.085,0.75,0.0347687075116394,0.00633943510865476,5.48451193453693
0.09,0.75,0.0358944318994696,0.0066065346361881,5.43317092486785
0.095,0.75,0.0369997365344186,0.0068750379785838,5.38175012991568
